,FEEDBACK,PRICE,SELLER NAME,PRODUCT NAME
0,"Good Seller , Item as Advertised , Quick Ship",US $24.98,null,Canon PG-240XL Ink Cartridge - Black (#274306685961)
1,"Thank you for an easy, pleasant transaction. Excellent buyer. ~adidas_official",null,adidas_official,null
2,"Thank you for an easy, pleasant transaction. Excellent buyer. ~adidas_official",null,adidas_official,null
3,"Thank you for an easy, pleasant transaction. Excellent buyer. ~adidas_official",null,adidas_official,null
4,"Thank you for an easy, pleasant transaction. Excellent buyer. ~adidas_official",null,adidas_official,null
5,Speedy and product exactly  as described. Great seller!,US $246.96,null,Brand New Apple iPad 32GB - Space Grey (2017 Model) (#223793534018)
6,"fast shipping, item as advertised ",US $269.96,null,Brand New Apple iPad 32GB - Space Grey (2017 Model) (#223793534018)
7,Thank you!!  Item like described.  Great Seller! ,US $239.98,null,"Brand New Apple iPad 5th Gen. 32GB, Wi-Fi, 9.7in - Gold (#274146207819)"
8,Great value and as advertised,US $249.96,null,Brand New Apple iPad 32GB - Space Grey (2017 Model) (#223793534018)
9,Great seller.  Item was as advertised.,US $238.98,null,"Brand New Apple iPad 5th Gen. 32GB, Wi-Fi, 9.7in - Gold (#223793532311)"
10,Great seller good to have a business with you,US $239.98,null,"Brand New Apple iPad 5th Gen. 32GB, Wi-Fi, 9.7in - Gold (#274146207819)"
11,Thanks,US $324.89,null,Nintendo Switch - 32GB Gray Console - (with Gray Joy-Cons) (#223775664915)
12,Love the item!!,US $238.98,null,"Brand New Apple iPad 5th Gen. 32GB, Wi-Fi, 9.7in - Gold (#223793532311)"
13,"Excellent ebayer, would buy again. Fast Shipping!",US $318.98,null,"Apple iPad mini 4 128GB, Wi-Fi, 7.9in - Gold (#223787251107)"
14,"Fast shipping, product was as described.",US $324.98,null,Nintendo Switch - 32GB Gray Console (with Neon Red/Neon Blue Joy-Con) (#273599256653)
15,Fast shipment.  Recommended seller.,US $250.98,null,Apple iPad 32GB - Space Grey (2017 Model) (#273558185029)
16,A+++++seller. Vertrauenswürdige Verkäufer! ,US $99.98,null,Moto Insta-Share Projector (#223750258952)
17,Quick response and fast payment. Perfect! THANKS!! ~adidas_official,null,adidas_official,null
18,Great communication. A pleasure to do business with. ~adidas_official,null,adidas_official,null
19,Thank you so much for sharing eBay with us.  PayPal Digital Gifts,null,paypal_digital_gifts,null
20,Professional company. Would recommend to anyone. Great item. ,US $329.98,null,"Apple iPad mini 4 128GB, Wi-Fi, 7.9in - Space Gray (#273581498778)"
21,Thks,US $329.98,null,Nintendo Switch - 32GB Gray Console (with Neon Red/Neon Blue Joy-Con) (#273590818098)
22,"FRAUD SELLER,CANCELLD ORDER WITHOUT INFORMING ME,NEVER SHIPPED THE ITEM,AVOID",US $329.89,null,Nintendo Switch - 32GB Gray Console - (with Gray Joy-Cons) (#273558251620)
23,"Good buyer, prompt payment, valued customer, highly recommended.",null,dirtdevil,null
24,Received an awesome new laptop! Loving it so much! Thank you!!,US $149.98,null,"Lenovo IdeaPad 110s 11.6"" (32GB, Intel Celeron N, 2.60GHz, 2GB) Laptop - White (#223224740841)"
25,"Terrible seller, NOT RECOMMENDED, BEWARE!",US $329.89,null,Nintendo Switch - 32GB Gray Console - (with Gray Joy-Cons) (#273558251620)
26,Crocs approved! Super fast payment. Prompt response. Come back soon.,null,crocsoutlet,null
27,Crocs approved! Super fast payment. Prompt response. Come back soon.,null,crocsoutlet,null
28,Great service Thanks!!!,US $34.98,null,Google Chromecast (2nd Generation) HD Media Streamer - Black (#273510110836)
29,Great Product -- Fast Shipping -- No Problems!,US $149.98,null,"Lenovo IdeaPad 110s 11.6"" (32GB, Intel Celeron N, 2.60GHz, 2GB) Laptop - White (#223206750174)"
30,"Thank you for an easy, pleasant transaction. Excellent buyer. ~adidas_official",null,adidas_official,null
31,Great communication. A pleasure to do business with. ~adidas_official,null,adidas_official,null
32,Great communication. A pleasure to do business with. ~adidas_official,null,adidas_official,null
33,Great communication. A pleasure to do business with. ~adidas_official,null,adidas_official,null
34,"Good buyer, prompt payment, valued customer, highly recommended.~adidas_official",null,adidas_official,null
35,"Good buyer, prompt payment, valued customer, highly recommended.~adidas_official",null,adidas_official,null
36,"Good buyer, prompt payment, valued customer, highly recommended.~adidas_official",null,adidas_official,null
37,Great communication. A pleasure to do business with. ~adidas_official,null,adidas_official,null
38,Great communication. A pleasure to do business with. ~adidas_official,null,adidas_official,null
39,Quick response and fast payment. Perfect! THANKS!! ~adidas_official,null,adidas_official,null
40,Quick response and fast payment. Perfect! THANKS!! ~adidas_official,null,adidas_official,null
41,Thank you so much for sharing eBay with us.  PayPal Digital Gifts,null,paypal_digital_gifts,null
42,"Thank you for an easy, pleasant transaction. Excellent buyer. ~adidas_official",null,adidas_official,null
43,"Thank you for an easy, pleasant transaction. Excellent buyer. ~adidas_official",null,adidas_official,null
44,Quick response and fast payment. Perfect! THANKS!! ~adidas_official,null,adidas_official,null
45,"Good buyer, prompt payment, valued customer, highly recommended.",null,dirtdevil,null
46,Instant payment. Excellent buyer! Thank you,null,matchqqqq,null
47,Great item and super fast shipping! Thanks! A+++,US $109.98,null,Canon PowerShot A3500 IS 16.0 MP Digital Camera - Red (#222383505289)
48,Many thanks from *GALPIN HONDA MISSION HILLS* Excellent Ebayer!!!!!!!!!,null,galpinhonda,null
49,"Had a small issue but seller took care of the problem right away, very pleased!",US $84.98,null,"Hoover TwinTank Steam Mop, WH20200 (#271817026002)"
50,Perfect!  Thank you!,US $89.98,null,Canon PowerShot A3500 IS 16.0 MP Digital Camera - Red (#222383505289)
51,"Smooth transaction, fast shipping....  A+++",US $89.98,null,Canon PowerShot A3500 IS 16.0 MP Digital Camera - Red (#222383505289)
52,"Fast Shipping, great item, Would buy again, AAAAAAAAAAAAAAAA++++++++++++++",US $89.98,null,Canon PowerShot A3500 IS 16.0 MP Digital Camera - Red (#222383505289)
53,Thanks for you understanding and cooperation.,US $89.98,null,Canon PowerShot A3500 IS 16.0 MP Digital Camera - Red (#271420068286)
54,Good buyer! Highly recommended!! +++++,null,starbellone,null
55,"Fast shipping, excellent brand new on collectors bag",US $89.98,null,Canon PowerShot A3500 IS 16.0 MP Digital Camera - Red (#271420068286)
56,"everthing works, fast delivery",US $89.98,null,Canon PowerShot A3500 IS 16.0 MP Digital Camera - Red (#271420068286)
57,Thank for your purchase and being an awesome eBay member. We love you!,null,paypal_digital_gifts,null
